Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Les Engagés ,2,,Brigitte Aubert,https://www.facebook.com/lesengagesmouscron/,https://www.facebook.com/share/p/txPCLmsUgW4wfRCs/,https://ds1.static.rtbf.be/uploader/image/8/3/2/beta_f3613a2ff9341fe7db4684d6e9f30809.jpg
MR,5,,David Vaccari,https://www.dropbox.com/scl/fi/0vor5s2twrnmam14ocugd/programme-10-actions-et-QR-code.pdf?rlkey=hgmww9e5boek7bk6w3dfniydp&dl=0,https://eur01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.dropbox.com%2Fscl%2Ffi%2Fq5vg06pu4vrr07ji98q8e%2Fcamionnette-xavier-visuel-3.pdf%3Frlkey%3Dm3kbfw5jpd0dkx5sre8jpyog3%26dl%3D0&data=05%7C02%7Cpiwu%40rtbf.be%7C5838845ec9454f3f2c3f08dcd8a40cfd%7C103cfb3e3dfd4a4483ce455a2d25db06%7C0%7C0%7C638623446657434361%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=w8k0WNvB6fdz62EBOZFk3DdpSDkKeocEu97SjpheSuQ%3D&reserved=0,https://ds1.static.rtbf.be/uploader/image/d/8/d/beta_272da752271eae3ab9bfefa7b50321f9.jpg
Ecolo,1,,Simon Varrasse,https://mouscron.ecolo.be/notre-programme/,https://mouscron.ecolo.be/nos-candidat-e-s/,https://ds1.static.rtbf.be/uploader/image/1/7/6/beta_c543fcac22a5a2b35f138a6338f8fdc7.jpg
PS,3,,Fatima Ahallouch,https://mouscroncestnous.be/programme-ps-les-grandes-lignes/,https://mouscroncestnous.be/les-candidats/,https://ds1.static.rtbf.be/uploader/image/7/6/6/beta_737dd92bc7c0fcf125e525c82ef68d03.jpg
PTB,4,,Thibault Morel,https://mouscron.ptb.be/programme,https://mouscron.ptb.be/,https://ds1.static.rtbf.be/uploader/image/8/4/3/beta_ce2078946b8c60bece08a4855178fe2f.jpeg
Chez Nous,7,,Pascal Loosvelt,,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/7700_57096_Mouscron_chez nous.pdf,https://ds1.static.rtbf.be/uploader/image/5/c/4/beta_d72fd4167783640307358d4da8a97c84.png
