Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
LB,7,Les Engagés,Alexandre Boitte,https://ds1.static.rtbf.be/uploader/pdf/2/a/a/beta_4de850e43aa7bf3a54633eb48851156b.pdf,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/7890_51017_Ellezelles_LB.pdf,https://ds1.static.rtbf.be/uploader/image/6/d/0/rtbfinfo_3c304f8c77dcce88a5735cb6e8b01d9f.jpg
MR,5,,Vincent Robin,https://www.facebook.com/profile.php?id=100064955526015,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/7890_51017_Ellezelles_MR.pdf,https://ds1.static.rtbf.be/uploader/image/8/8/f/rtbfinfo_29ce844124dbce45476c7678938a4084.jpg
Ecolo Plus 7890,1,,Isabelle Coppée,https://ellezelles.ecolo.be/nos-candidat-e-s-et-notre-programme/,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/7890_51017_Ellezelles_ECOLO.pdf,https://ds1.static.rtbf.be/uploader/image/2/f/4/rtbfinfo_8bf28e819c9ebad1ea7ac0bd81f79f10.jpg
PS,3,,Vinciane Hugé,https://ps-ellezelles.be/?fbclid=IwY2xjawFaVDRleHRuA2FlbQIxMAABHSJe2dC6OT2zRpxJdPOmMUPXE9o35u27CJOX4nTZw3c8QSD0SRBzPUyv3A_aem_0fMbs6h7LzDZ0x2lY9ysAw,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/7890_51017_Ellezelles_PS.pdf,https://ds1.static.rtbf.be/uploader/image/b/a/7/rtbfinfo_7a568cf8b9c26c50876e45d5ffc681d8.jpg
