Nom_des_listes,Numero_des_listes,Apparentement,Tetes_de_listes,Lien_vers_le_programme,Lien_vers_la_liste,Photo_en_jpg
Ensemble Hamois 2024,9,,Valérie Warzée-Caverenne,https://ensemble-hamois.be/programme/,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/5360_91059_Hamois_Ensemble 2024.pdf,https://ds1.static.rtbf.be/uploader/image/9/f/9/beta_b75185b936493b3f12f3ad9485f23888.jpg
7Plus,8,,Cédric Bertrand,https://drive.google.com/file/d/1Ihj6ZN3S31wuQZ387uicu7pQUXX07eMa/view?fbclid=IwY2xjawFX2rFleHRuA2FlbQIxMQABHaYaiqCHAfHF_cAe5VwhHl9nIdV1oimyiCdJdoZqeRYpeRbTeoegHbtC6Q_aem_9bpcepqRWbQ0yR4N5RedZw,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/5360_91059_Hamois_7 PLUS.pdf,https://ds1.static.rtbf.be/uploader/image/f/6/c/beta_98171a7478550128c32f53480a396677.jpeg
Vert Demain,10,Ecolo,Lionel Dehalu,https://hamois.ecolo.be/wp-content/uploads/sites/545/2024/09/Programme-VertDemain-12-09-2024.pdf,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/5360_91059_Hamois_VERT DEMAIN.pdf,https://ds1.static.rtbf.be/uploader/image/b/d/0/beta_b619298033172df42bdaa81c4bd48fe5.png
Bocqville,11,,Fabrice Lagneau,https://ds1.static.rtbf.be/uploader/pdf/2/d/e/beta_b4c93514e5aba7760e33331300223573.pdf,https://rtbfmedia.be/rtbfinfo/listes_communales_2024_PDF/5360_91059_Hamois_BOCQVILLE.pdf,https://ds1.static.rtbf.be/uploader/image/7/9/2/beta_8e0661151be36c63681b54c188470eb8.png
